date,open,high,low,close,volume
2010-01-04,21860.0390625,22024.830078125,21689.220703125,21823.279296875,1006199600
2010-01-05,22092.150390625,22297.0390625,21987.26953125,22279.580078125,1965584800
2010-01-06,22357.4609375,22514.7890625,22277.130859375,22416.669921875,2100234000
2010-01-07,22548.029296875,22548.029296875,22169.609375,22269.44921875,1495365300
2010-01-08,22282.75,22443.220703125,22206.16015625,22296.75,1626022600
2010-01-11,22524.1796875,22671.919921875,22373.9609375,22411.51953125,1744637600
2010-01-12,22378.23046875,22476.119140625,22192.98046875,22326.640625,2204776800
2010-01-13,21990.6796875,22012.0390625,21688.169921875,21748.599609375,3414190400
2010-01-14,21871.009765625,21988.9296875,21707.099609375,21716.94921875,2338667600
2010-01-15,21715.08984375,21788.849609375,21581.0703125,21654.16015625,2659842200
2010-01-18,21418.33984375,21645.6796875,21320.970703125,21460.009765625,1867401600
2010-01-19,21481.109375,21681.689453125,21335.599609375,21677.98046875,1913397800
2010-01-20,21543.25,21561.560546875,21171.30078125,21286.169921875,2197552000
2010-01-21,21192.830078125,21272.259765625,20828.240234375,20862.669921875,2465648800
2010-01-22,20527.19921875,20738.990234375,20250.359375,20726.1796875,3220362000
2010-01-25,20447.7890625,20619.69921875,20422.669921875,20598.55078125,1909841600
2010-01-26,20560.109375,20560.109375,20046.599609375,20109.330078125,2270009200
2010-01-27,20185.80078125,20340.8203125,19923.55078125,20033.0703125,1822372600
2010-01-28,20202.330078125,20437.560546875,20170.150390625,20356.369140625,1880647200
2010-01-29,20026.51953125,20327.689453125,19916.33984375,20121.990234375,1784257400
2010-02-01,19987.669921875,20254.240234375,19845.9296875,20243.75,1701996800
2010-02-02,20432.9609375,20533.9609375,20181.279296875,20272.1796875,1561642000
2010-02-03,20486.150390625,20780.5,20315.310546875,20722.080078125,1922114800
2010-02-04,20534.740234375,20554.19921875,20316.330078125,20341.640625,1607734100
2010-02-05,19706.240234375,19822.9296875,19655.880859375,19665.080078125,2515439200
2010-02-08,19614.849609375,19673.109375,19423.05078125,19550.890625,1751004600
2010-02-09,19493.5,19843.869140625,19461.19921875,19790.279296875,1495157300
2010-02-10,19914.83984375,19976.66015625,19681.5390625,19922.220703125,1581352800
2010-02-11,20095.529296875,20310.7890625,20095.529296875,20290.689453125,1338864100
2010-02-12,20240.669921875,20428.3203125,20212.55078125,20268.689453125,1193582100
2010-02-17,20657.859375,20684.220703125,20471.359375,20534.009765625,1111742000
2010-02-18,20534.76953125,20569.609375,20381.30078125,20422.150390625,720614400
2010-02-19,20261.490234375,20261.490234375,19874.55078125,19894.01953125,1329484500
2010-02-22,20407.83984375,20427.08984375,20313.150390625,20377.26953125,1067658300
2010-02-23,20218.509765625,20711.75,20120.099609375,20623.0,1469337300
2010-02-24,20357.419921875,20583.83984375,20351.05078125,20467.740234375,1508097400
2010-02-25,20512.380859375,20644.26953125,20261.98046875,20399.5703125,1980209600
2010-02-26,20657.830078125,20662.83984375,20567.580078125,20608.69921875,1492479400
2010-03-01,20853.080078125,21056.9296875,20853.080078125,21056.9296875,2585990000
2010-03-02,20921.439453125,20961.830078125,20847.4609375,20906.109375,2296292200
2010-03-03,21016.2890625,21016.2890625,20845.16015625,20876.7890625,1674115300
2010-03-04,20983.810546875,21000.130859375,20575.779296875,20575.779296875,1910837600
2010-03-05,20820.970703125,20820.970703125,20654.939453125,20787.970703125,2875176000
2010-03-08,21099.7109375,21257.08984375,21080.759765625,21196.869140625,2052899600
2010-03-09,21153.619140625,21277.66015625,21128.9296875,21207.55078125,1421012500
2010-03-10,21293.51953125,21293.51953125,21156.08984375,21208.2890625,1257677200
2010-03-11,21333.060546875,21333.060546875,21059.060546875,21228.19921875,1402218700
2010-03-12,21249.80078125,21260.0703125,21116.83984375,21209.740234375,1164407200
2010-03-15,21036.419921875,21116.5,20964.310546875,21079.099609375,1143308800
2010-03-16,21135.7890625,21196.830078125,20986.689453125,21022.9296875,1027809600
2010-03-17,21183.599609375,21440.1796875,21159.4296875,21384.490234375,1612088200
2010-03-18,21429.689453125,21440.810546875,21287.369140625,21330.669921875,1341953000
2010-03-19,21359.55078125,21389.0,21257.80078125,21370.8203125,1347445900
2010-03-22,21120.4296875,21120.4296875,20899.689453125,20933.25,1572548900
2010-03-23,21070.650390625,21211.080078125,20971.560546875,20987.779296875,1253196700
2010-03-24,21203.5,21205.5,20974.05078125,21008.619140625,1282110100
2010-03-25,20799.05078125,20800.94921875,20659.279296875,20778.55078125,1456677500
2010-03-26,20679.650390625,21126.75,20679.650390625,21053.109375,1863882000
2010-03-29,21148.05078125,21318.23046875,21125.91015625,21237.4296875,1394443900
2010-03-30,21230.529296875,21450.98046875,21202.169921875,21374.7890625,1749750800
2010-03-31,21366.619140625,21446.80078125,21230.2890625,21239.349609375,2159444200
2010-04-01,21390.890625,21547.66015625,21373.16015625,21537.0,2059414400
2010-04-07,21828.349609375,21935.41015625,21747.5703125,21928.76953125,2868746800
2010-04-08,21836.419921875,21949.25,21813.349609375,21867.0390625,1712260400
2010-04-09,22014.73046875,22249.23046875,21963.779296875,22208.5,2129071600
2010-04-12,22388.76953125,22388.76953125,22131.9296875,22138.169921875,1580086800
2010-04-13,22216.109375,22290.669921875,22008.05078125,22103.529296875,1868202800
2010-04-14,22183.05078125,22192.330078125,22061.76953125,22121.4296875,1302086200
2010-04-15,22265.359375,22337.890625,22113.2109375,22157.8203125,1459714700
2010-04-16,22059.30078125,22111.990234375,21788.880859375,21865.259765625,2496724000
2010-04-19,21557.779296875,21582.130859375,21283.30078125,21405.169921875,2348763400
2010-04-20,21519.259765625,21647.75,21507.470703125,21623.380859375,1422031800
2010-04-21,21732.759765625,21740.640625,21475.98046875,21510.9296875,1624158100
2010-04-22,21283.9296875,21471.109375,21206.740234375,21454.939453125,1352022600
